"term","justice","justiceName","post_mn","post_sd","post_med","post_025","post_975"
1964,94,"PStewart",0.487,0.198,0.484,0.107,0.883
1965,94,"PStewart",0.623,0.187,0.618,0.268,0.998
1966,94,"PStewart",0.603,0.161,0.602,0.295,0.926
1967,94,"PStewart",-0.103,0.144,-0.104,-0.385,0.177
1968,94,"PStewart",0.346,0.175,0.343,0.01,0.702
1969,94,"PStewart",0.459,0.179,0.459,0.11,0.814
1970,94,"PStewart",0.516,0.171,0.513,0.187,0.862
1971,94,"PStewart",0.106,0.151,0.106,-0.188,0.398
1972,94,"PStewart",0.136,0.142,0.136,-0.147,0.412
1973,94,"PStewart",0.489,0.152,0.487,0.195,0.79
1974,94,"PStewart",0.362,0.173,0.359,0.028,0.706
1975,94,"PStewart",0.507,0.159,0.505,0.199,0.826
1976,94,"PStewart",0.498,0.16,0.495,0.192,0.822
1977,94,"PStewart",0.315,0.166,0.316,-0.011,0.647
1978,94,"PStewart",0.495,0.164,0.49,0.182,0.825
1979,94,"PStewart",0.457,0.162,0.454,0.15,0.784
1980,94,"PStewart",0.704,0.206,0.701,0.312,1.118
1993,109,"RBGinsburg",-0.203,0.219,-0.203,-0.645,0.222
1994,109,"RBGinsburg",-0.432,0.203,-0.429,-0.843,-0.041
1995,109,"RBGinsburg",-0.483,0.207,-0.48,-0.897,-0.082
1996,109,"RBGinsburg",-0.575,0.208,-0.572,-0.989,-0.173
1997,109,"RBGinsburg",-0.772,0.228,-0.768,-1.23,-0.33
1998,109,"RBGinsburg",-0.931,0.233,-0.923,-1.402,-0.497
1999,109,"RBGinsburg",-1.324,0.251,-1.316,-1.846,-0.855
2000,109,"RBGinsburg",-1.536,0.268,-1.532,-2.092,-1.026
2001,109,"RBGinsburg",-1.648,0.286,-1.642,-2.227,-1.115
2002,109,"RBGinsburg",-1.706,0.298,-1.698,-2.32,-1.145
2003,109,"RBGinsburg",-1.777,0.295,-1.77,-2.377,-1.222
2004,109,"RBGinsburg",-1.721,0.301,-1.712,-2.337,-1.151
2005,109,"RBGinsburg",-1.618,0.307,-1.607,-2.243,-1.043
2006,109,"RBGinsburg",-1.712,0.295,-1.701,-2.325,-1.16
2007,109,"RBGinsburg",-1.7,0.301,-1.693,-2.32,-1.128
2008,109,"RBGinsburg",-1.741,0.294,-1.732,-2.346,-1.2
2009,109,"RBGinsburg",-1.692,0.318,-1.681,-2.338,-1.095
2010,109,"RBGinsburg",-2.095,0.335,-2.086,-2.775,-1.466
2011,109,"RBGinsburg",-2.376,0.351,-2.359,-3.1,-1.719
2012,109,"RBGinsburg",-2.487,0.382,-2.474,-3.271,-1.764
2013,109,"RBGinsburg",-2.495,0.41,-2.483,-3.335,-1.735
2014,109,"RBGinsburg",-2.595,0.424,-2.58,-3.457,-1.808
2015,109,"RBGinsburg",-2.729,0.44,-2.711,-3.638,-1.922
2016,109,"RBGinsburg",-2.814,0.462,-2.797,-3.778,-1.97
2017,109,"RBGinsburg",-2.86,0.49,-2.835,-3.872,-1.958
2018,109,"RBGinsburg",-2.9,0.55,-2.878,-4.034,-1.873
1941,84,"RHJackson",0.217,0.218,0.214,-0.197,0.656
1942,84,"RHJackson",0.275,0.189,0.274,-0.092,0.645
1943,84,"RHJackson",0.143,0.175,0.142,-0.2,0.49
1944,84,"RHJackson",0.195,0.173,0.192,-0.136,0.543
1945,84,"RHJackson",0.622,0.27,0.622,0.096,1.151
1946,84,"RHJackson",1.052,0.225,1.046,0.63,1.514
1947,84,"RHJackson",1.204,0.226,1.198,0.78,1.667
1948,84,"RHJackson",1.276,0.224,1.267,0.862,1.741
1949,84,"RHJackson",0.829,0.263,0.813,0.344,1.382
1950,84,"RHJackson",0.776,0.223,0.772,0.343,1.227
1951,84,"RHJackson",0.718,0.211,0.714,0.319,1.146
1952,84,"RHJackson",0.913,0.223,0.905,0.492,1.373
1953,84,"RHJackson",0.859,0.273,0.85,0.358,1.426
2005,112,"SAAlito",1.407,0.36,1.4,0.744,2.14
2006,112,"SAAlito",1.436,0.298,1.424,0.893,2.043
2007,112,"SAAlito",1.532,0.293,1.523,0.983,2.122
2008,112,"SAAlito",1.792,0.293,1.783,1.246,2.386
2009,112,"SAAlito",1.815,0.313,1.805,1.227,2.457
2010,112,"SAAlito",1.958,0.324,1.953,1.353,2.62
2011,112,"SAAlito",1.971,0.322,1.961,1.365,2.631
2012,112,"SAAlito",1.953,0.329,1.943,1.329,2.631
2013,112,"SAAlito",1.887,0.337,1.88,1.249,2.558
2014,112,"SAAlito",1.697,0.318,1.683,1.112,2.351
2015,112,"SAAlito",1.575,0.337,1.561,0.96,2.266
2016,112,"SAAlito",1.745,0.343,1.735,1.114,2.452
2017,112,"SAAlito",1.907,0.354,1.894,1.261,2.633
2018,112,"SAAlito",1.739,0.418,1.72,0.984,2.616
1981,104,"SDOConnor",1.565,0.262,1.553,1.079,2.111
1982,104,"SDOConnor",1.716,0.246,1.711,1.247,2.215
1983,104,"SDOConnor",1.688,0.238,1.681,1.239,2.172
1984,104,"SDOConnor",1.493,0.229,1.487,1.062,1.958
1985,104,"SDOConnor",1.278,0.214,1.273,0.881,1.715
1986,104,"SDOConnor",1.38,0.207,1.377,0.988,1.796
1987,104,"SDOConnor",1.568,0.233,1.565,1.125,2.034
1988,104,"SDOConnor",1.503,0.232,1.498,1.065,1.979
1989,104,"SDOConnor",1.521,0.219,1.517,1.106,1.956
1990,104,"SDOConnor",1.124,0.211,1.119,0.723,1.553
1991,104,"SDOConnor",0.693,0.199,0.69,0.315,1.096
1992,104,"SDOConnor",0.852,0.212,0.846,0.45,1.286
1993,104,"SDOConnor",1.012,0.221,1.007,0.596,1.457
1994,104,"SDOConnor",0.83,0.217,0.826,0.414,1.267
1995,104,"SDOConnor",0.841,0.22,0.837,0.428,1.284
1996,104,"SDOConnor",0.977,0.225,0.972,0.55,1.43
1997,104,"SDOConnor",1.076,0.233,1.073,0.628,1.544
1998,104,"SDOConnor",0.962,0.226,0.958,0.525,1.408
1999,104,"SDOConnor",0.867,0.216,0.863,0.455,1.307
2000,104,"SDOConnor",0.584,0.201,0.582,0.201,0.993
2001,104,"SDOConnor",0.359,0.203,0.357,-0.037,0.761
2002,104,"SDOConnor",0.245,0.217,0.245,-0.177,0.674
2003,104,"SDOConnor",0.195,0.209,0.192,-0.208,0.613
2004,104,"SDOConnor",0.116,0.232,0.114,-0.337,0.575
2005,104,"SDOConnor",0.065,0.352,0.063,-0.623,0.766
1937,79,"SFReed",-1.057,0.342,-1.048,-1.745,-0.407
1938,79,"SFReed",-1.145,0.255,-1.137,-1.659,-0.669
1939,79,"SFReed",-1.068,0.234,-1.064,-1.545,-0.626
1940,79,"SFReed",-0.741,0.207,-0.738,-1.159,-0.344
1941,79,"SFReed",-0.278,0.184,-0.277,-0.647,0.077
1942,79,"SFReed",0.123,0.177,0.121,-0.215,0.477
1943,79,"SFReed",0.147,0.173,0.146,-0.188,0.487
1944,79,"SFReed",-0.086,0.159,-0.084,-0.403,0.228
1945,79,"SFReed",0.074,0.191,0.071,-0.299,0.451
1946,79,"SFReed",0.294,0.17,0.294,-0.036,0.634
1947,79,"SFReed",0.54,0.181,0.539,0.19,0.903
1948,79,"SFReed",0.712,0.192,0.709,0.343,1.095
1949,79,"SFReed",1.149,0.25,1.142,0.673,1.656
1950,79,"SFReed",1.244,0.253,1.236,0.772,1.762
1951,79,"SFReed",1.309,0.25,1.303,0.842,1.827
1952,79,"SFReed",1.386,0.249,1.377,0.923,1.896
1953,79,"SFReed",1.532,0.266,1.525,1.033,2.065
1954,79,"SFReed",1.518,0.259,1.513,1.033,2.046
1955,79,"SFReed",1.083,0.254,1.071,0.62,1.617
1956,79,"SFReed",0.849,0.301,0.84,0.288,1.475
1994,110,"SGBreyer",-0.309,0.222,-0.304,-0.758,0.116
1995,110,"SGBreyer",-0.453,0.213,-0.45,-0.885,-0.044
1996,110,"SGBreyer",-0.709,0.212,-0.705,-1.13,-0.3
1997,110,"SGBreyer",-0.771,0.225,-0.765,-1.221,-0.347
1998,110,"SGBreyer",-0.747,0.216,-0.744,-1.178,-0.336
1999,110,"SGBreyer",-0.795,0.22,-0.79,-1.238,-0.376
2000,110,"SGBreyer",-1.248,0.237,-1.244,-1.725,-0.795
2001,110,"SGBreyer",-1.319,0.253,-1.315,-1.828,-0.835
2002,110,"SGBreyer",-1.319,0.266,-1.314,-1.845,-0.809
2003,110,"SGBreyer",-1.24,0.263,-1.234,-1.77,-0.74
2004,110,"SGBreyer",-1.092,0.26,-1.086,-1.62,-0.601
2005,110,"SGBreyer",-1.273,0.264,-1.272,-1.807,-0.763
2006,110,"SGBreyer",-1.384,0.26,-1.376,-1.911,-0.893
2007,110,"SGBreyer",-1.288,0.264,-1.285,-1.822,-0.779
2008,110,"SGBreyer",-1.191,0.247,-1.182,-1.692,-0.726
2009,110,"SGBreyer",-1.326,0.264,-1.321,-1.858,-0.826
2010,110,"SGBreyer",-1.403,0.27,-1.395,-1.956,-0.895
2011,110,"SGBreyer",-1.4,0.273,-1.395,-1.953,-0.879
2012,110,"SGBreyer",-1.39,0.282,-1.383,-1.966,-0.862
2013,110,"SGBreyer",-1.468,0.301,-1.462,-2.075,-0.894
2014,110,"SGBreyer",-1.57,0.3,-1.563,-2.175,-1.001
2015,110,"SGBreyer",-1.481,0.318,-1.471,-2.129,-0.882
2016,110,"SGBreyer",-1.531,0.323,-1.52,-2.192,-0.937
2017,110,"SGBreyer",-1.711,0.329,-1.697,-2.388,-1.108
2018,110,"SGBreyer",-1.705,0.396,-1.693,-2.51,-0.971
1949,89,"SMinton",1.298,0.316,1.284,0.715,1.955
1950,89,"SMinton",1.422,0.284,1.413,0.9,2.013
1951,89,"SMinton",1.485,0.262,1.479,0.992,2.022
1952,89,"SMinton",1.281,0.237,1.271,0.838,1.768
1953,89,"SMinton",0.894,0.235,0.886,0.459,1.375
1954,89,"SMinton",0.884,0.233,0.876,0.448,1.361
1955,89,"SMinton",0.873,0.244,0.868,0.42,1.376
1956,89,"SMinton",0.833,0.381,0.828,0.1,1.607
2009,113,"SSotomayor",-1.596,0.35,-1.579,-2.326,-0.958
2010,113,"SSotomayor",-1.671,0.334,-1.652,-2.373,-1.056
2011,113,"SSotomayor",-1.837,0.345,-1.821,-2.553,-1.202
2012,113,"SSotomayor",-2.262,0.369,-2.247,-3.021,-1.56
2013,113,"SSotomayor",-2.544,0.407,-2.535,-3.379,-1.783
2014,113,"SSotomayor",-2.796,0.437,-2.789,-3.679,-1.967
2015,113,"SSotomayor",-2.971,0.47,-2.955,-3.917,-2.101
2016,113,"SSotomayor",-3.12,0.495,-3.102,-4.149,-2.205
2017,113,"SSotomayor",-3.273,0.526,-3.246,-4.383,-2.311
2018,113,"SSotomayor",-3.277,0.589,-3.248,-4.515,-2.205
1949,88,"TCClark",1.117,0.314,1.104,0.534,1.763
1950,88,"TCClark",1.138,0.274,1.129,0.631,1.7
1951,88,"TCClark",1.207,0.245,1.201,0.746,1.704
1952,88,"TCClark",1.177,0.22,1.173,0.763,1.627
1953,88,"TCClark",0.619,0.209,0.616,0.221,1.047
1954,88,"TCClark",0.169,0.202,0.168,-0.221,0.566
1955,88,"TCClark",0.039,0.184,0.039,-0.324,0.399
1956,88,"TCClark",0.218,0.169,0.217,-0.108,0.553
1957,88,"TCClark",0.654,0.166,0.653,0.332,0.987
1958,88,"TCClark",0.574,0.175,0.571,0.239,0.924
1959,88,"TCClark",0.39,0.163,0.389,0.077,0.717
1960,88,"TCClark",0.796,0.181,0.792,0.449,1.163
1961,88,"TCClark",0.493,0.181,0.492,0.141,0.852
1962,88,"TCClark",0.347,0.158,0.347,0.042,0.665
1963,88,"TCClark",0.127,0.152,0.127,-0.175,0.422
1964,88,"TCClark",-0.13,0.189,-0.132,-0.502,0.236
1965,88,"TCClark",-0.053,0.173,-0.053,-0.39,0.293
1966,88,"TCClark",0.16,0.166,0.159,-0.165,0.49
1967,98,"TMarshall",-1.254,0.248,-1.247,-1.77,-0.789
1968,98,"TMarshall",-1.179,0.235,-1.172,-1.657,-0.736
1969,98,"TMarshall",-1.031,0.229,-1.025,-1.487,-0.598
1970,98,"TMarshall",-0.984,0.209,-0.978,-1.409,-0.592
1971,98,"TMarshall",-1.077,0.197,-1.073,-1.48,-0.704
1972,98,"TMarshall",-1.359,0.207,-1.354,-1.783,-0.964
1973,98,"TMarshall",-1.472,0.217,-1.467,-1.918,-1.064
1974,98,"TMarshall",-1.477,0.245,-1.469,-1.976,-1.014
1975,98,"TMarshall",-2.007,0.268,-2.001,-2.555,-1.504
1976,98,"TMarshall",-2.354,0.3,-2.347,-2.962,-1.791
1977,98,"TMarshall",-2.674,0.341,-2.664,-3.375,-2.034
1978,98,"TMarshall",-3.062,0.359,-3.051,-3.788,-2.383
1979,98,"TMarshall",-3.339,0.381,-3.328,-4.117,-2.62
1980,98,"TMarshall",-3.489,0.407,-3.475,-4.329,-2.711
1981,98,"TMarshall",-3.613,0.433,-3.6,-4.503,-2.811
1982,98,"TMarshall",-3.765,0.441,-3.747,-4.657,-2.938
1983,98,"TMarshall",-3.831,0.456,-3.813,-4.775,-2.975
1984,98,"TMarshall",-3.896,0.473,-3.878,-4.871,-3.013
1985,98,"TMarshall",-3.985,0.495,-3.968,-4.996,-3.078
1986,98,"TMarshall",-4.189,0.502,-4.169,-5.222,-3.271
1987,98,"TMarshall",-4.363,0.522,-4.336,-5.441,-3.42
1988,98,"TMarshall",-4.449,0.551,-4.422,-5.584,-3.44
1989,98,"TMarshall",-4.425,0.601,-4.389,-5.687,-3.336
1990,98,"TMarshall",-4.267,0.694,-4.24,-5.693,-2.982
1942,85,"WBRutledge",-1.11,0.297,-1.101,-1.721,-0.558
1943,85,"WBRutledge",-1.152,0.234,-1.144,-1.642,-0.717
1944,85,"WBRutledge",-1.382,0.225,-1.378,-1.846,-0.957
1945,85,"WBRutledge",-1.198,0.263,-1.19,-1.737,-0.704
1946,85,"WBRutledge",-1.444,0.251,-1.434,-1.965,-0.981
1947,85,"WBRutledge",-1.77,0.273,-1.761,-2.33,-1.263
1948,85,"WBRutledge",-1.853,0.319,-1.839,-2.525,-1.264
1969,99,"WEBurger",2.018,0.358,2.004,1.36,2.752
1970,99,"WEBurger",2.203,0.321,2.193,1.605,2.856
1971,99,"WEBurger",2.431,0.286,2.423,1.895,3.011
1972,99,"WEBurger",2.237,0.275,2.227,1.721,2.805
1973,99,"WEBurger",2.223,0.266,2.217,1.717,2.771
1974,99,"WEBurger",2.136,0.272,2.133,1.618,2.682
1975,99,"WEBurger",1.966,0.261,1.961,1.477,2.488
1976,99,"WEBurger",1.895,0.249,1.889,1.423,2.399
1977,99,"WEBurger",1.527,0.237,1.524,1.079,2.006
1978,99,"WEBurger",1.386,0.221,1.379,0.977,1.842
1979,99,"WEBurger",1.196,0.209,1.189,0.802,1.625
1980,99,"WEBurger",1.419,0.23,1.411,0.987,1.892
1981,99,"WEBurger",1.603,0.228,1.598,1.172,2.069
1982,99,"WEBurger",1.477,0.235,1.473,1.03,1.955
1983,99,"WEBurger",1.693,0.249,1.686,1.228,2.209
1984,99,"WEBurger",2.003,0.275,1.993,1.486,2.577
1985,99,"WEBurger",2.11,0.325,2.096,1.504,2.79
1971,102,"WHRehnquist",3.633,0.357,3.632,2.952,4.337
1972,102,"WHRehnquist",4.039,0.384,4.037,3.305,4.8
1973,102,"WHRehnquist",4.294,0.414,4.285,3.505,5.126
1974,102,"WHRehnquist",4.384,0.444,4.378,3.542,5.263
1975,102,"WHRehnquist",4.495,0.458,4.491,3.627,5.419
1976,102,"WHRehnquist",4.471,0.482,4.46,3.551,5.443
1977,102,"WHRehnquist",4.452,0.494,4.444,3.503,5.434
1978,102,"WHRehnquist",4.472,0.489,4.461,3.54,5.444
1979,102,"WHRehnquist",4.492,0.478,4.481,3.578,5.464
1980,102,"WHRehnquist",4.334,0.487,4.325,3.41,5.331
1981,102,"WHRehnquist",4.17,0.48,4.156,3.249,5.146
1982,102,"WHRehnquist",4.077,0.462,4.062,3.196,5.016
1983,102,"WHRehnquist",3.973,0.442,3.965,3.138,4.873
1984,102,"WHRehnquist",3.75,0.424,3.744,2.939,4.612
1985,102,"WHRehnquist",3.523,0.399,3.516,2.774,4.331
1986,102,"WHRehnquist",3.263,0.372,3.251,2.57,4.01
1987,102,"WHRehnquist",2.823,0.375,2.814,2.13,3.586
1988,102,"WHRehnquist",2.71,0.349,2.7,2.058,3.424
1989,102,"WHRehnquist",2.574,0.327,2.563,1.955,3.242
1990,102,"WHRehnquist",2.357,0.314,2.347,1.767,2.987
1991,102,"WHRehnquist",2.108,0.305,2.098,1.533,2.722
1992,102,"WHRehnquist",2.047,0.304,2.037,1.466,2.659
1993,102,"WHRehnquist",1.867,0.302,1.856,1.296,2.478
1994,102,"WHRehnquist",1.868,0.292,1.858,1.327,2.459
1995,102,"WHRehnquist",1.843,0.289,1.837,1.299,2.43
1996,102,"WHRehnquist",1.708,0.288,1.7,1.17,2.298
1997,102,"WHRehnquist",1.661,0.286,1.654,1.122,2.243
1998,102,"WHRehnquist",1.854,0.284,1.848,1.312,2.432
1999,102,"WHRehnquist",1.714,0.283,1.708,1.178,2.289
2000,102,"WHRehnquist",1.653,0.269,1.646,1.138,2.2
2001,102,"WHRehnquist",1.405,0.266,1.4,0.899,1.947
2002,102,"WHRehnquist",1.235,0.276,1.226,0.716,1.792
2003,102,"WHRehnquist",1.367,0.284,1.359,0.836,1.947
2004,102,"WHRehnquist",1.436,0.336,1.427,0.808,2.125
1956,92,"WJBrennan",-0.667,0.206,-0.663,-1.084,-0.275
1957,92,"WJBrennan",-0.768,0.179,-0.763,-1.127,-0.43
1958,92,"WJBrennan",-0.822,0.189,-0.819,-1.198,-0.467
1959,92,"WJBrennan",-0.914,0.191,-0.909,-1.299,-0.554
1960,92,"WJBrennan",-0.894,0.192,-0.89,-1.279,-0.529
1961,92,"WJBrennan",-0.84,0.206,-0.838,-1.251,-0.45
1962,92,"WJBrennan",-1.195,0.202,-1.19,-1.603,-0.81
1963,92,"WJBrennan",-1.119,0.203,-1.114,-1.524,-0.734
1964,92,"WJBrennan",-0.961,0.222,-0.956,-1.406,-0.535
1965,92,"WJBrennan",-1.088,0.214,-1.082,-1.518,-0.684
1966,92,"WJBrennan",-1.179,0.199,-1.175,-1.588,-0.803
1967,92,"WJBrennan",-1.312,0.205,-1.308,-1.729,-0.924
1968,92,"WJBrennan",-1.127,0.219,-1.122,-1.57,-0.715
1969,92,"WJBrennan",-1.005,0.222,-1,-1.45,-0.581
1970,92,"WJBrennan",-1.062,0.21,-1.056,-1.497,-0.668
1971,92,"WJBrennan",-1.179,0.205,-1.173,-1.595,-0.793
1972,92,"WJBrennan",-1.403,0.213,-1.397,-1.834,-1.003
1973,92,"WJBrennan",-1.711,0.236,-1.705,-2.187,-1.268
1974,92,"WJBrennan",-1.957,0.276,-1.953,-2.511,-1.433
1975,92,"WJBrennan",-2.529,0.29,-2.525,-3.12,-1.974
1976,92,"WJBrennan",-2.788,0.314,-2.781,-3.416,-2.199
1977,92,"WJBrennan",-2.881,0.333,-2.876,-3.548,-2.249
1978,92,"WJBrennan",-2.806,0.34,-2.797,-3.492,-2.163
1979,92,"WJBrennan",-2.759,0.334,-2.751,-3.442,-2.137
1980,92,"WJBrennan",-2.626,0.339,-2.616,-3.319,-1.993
1981,92,"WJBrennan",-2.588,0.331,-2.578,-3.262,-1.972
1982,92,"WJBrennan",-2.452,0.348,-2.444,-3.159,-1.795
1983,92,"WJBrennan",-2.821,0.347,-2.812,-3.522,-2.171
1984,92,"WJBrennan",-3.038,0.366,-3.028,-3.782,-2.346
1985,92,"WJBrennan",-3.148,0.386,-3.137,-3.942,-2.425
1986,92,"WJBrennan",-3.422,0.388,-3.408,-4.21,-2.692
1987,92,"WJBrennan",-3.502,0.423,-3.485,-4.38,-2.723
1988,92,"WJBrennan",-3.601,0.453,-3.584,-4.542,-2.766
1989,92,"WJBrennan",-3.663,0.496,-3.637,-4.704,-2.751
1938,81,"WODouglas",-2.794,0.49,-2.785,-3.793,-1.863
1939,81,"WODouglas",-3.012,0.441,-3.001,-3.9,-2.184
1940,81,"WODouglas",-3.136,0.399,-3.123,-3.95,-2.376
1941,81,"WODouglas",-3.075,0.369,-3.062,-3.83,-2.38
1942,81,"WODouglas",-2.782,0.348,-2.771,-3.501,-2.136
1943,81,"WODouglas",-2.454,0.326,-2.444,-3.12,-1.844
1944,81,"WODouglas",-1.988,0.305,-1.978,-2.622,-1.426
1945,81,"WODouglas",-1.74,0.296,-1.734,-2.335,-1.183
1946,81,"WODouglas",-1.437,0.264,-1.425,-1.986,-0.954
1947,81,"WODouglas",-1.533,0.267,-1.521,-2.081,-1.043
1948,81,"WODouglas",-1.729,0.268,-1.719,-2.281,-1.231
1949,81,"WODouglas",-1.603,0.329,-1.593,-2.276,-0.988
1950,81,"WODouglas",-1.444,0.34,-1.427,-2.168,-0.843
1951,81,"WODouglas",-1.628,0.364,-1.602,-2.41,-0.986
1952,81,"WODouglas",-2.251,0.385,-2.229,-3.065,-1.555
1953,81,"WODouglas",-2.949,0.424,-2.932,-3.829,-2.161
1954,81,"WODouglas",-3.621,0.451,-3.608,-4.539,-2.772
1955,81,"WODouglas",-4.164,0.485,-4.152,-5.147,-3.237
1956,81,"WODouglas",-4.647,0.506,-4.639,-5.681,-3.694
1957,81,"WODouglas",-5.034,0.54,-5.024,-6.125,-4.003
1958,81,"WODouglas",-5.385,0.58,-5.368,-6.555,-4.299
1959,81,"WODouglas",-5.66,0.625,-5.648,-6.919,-4.476
1960,81,"WODouglas",-5.906,0.669,-5.893,-7.238,-4.632
1961,81,"WODouglas",-6.143,0.703,-6.131,-7.556,-4.799
1962,81,"WODouglas",-6.353,0.747,-6.342,-7.881,-4.923
1963,81,"WODouglas",-6.555,0.789,-6.543,-8.143,-5.058
1964,81,"WODouglas",-6.781,0.814,-6.762,-8.423,-5.233
1965,81,"WODouglas",-6.993,0.835,-6.97,-8.689,-5.41
1966,81,"WODouglas",-7.158,0.859,-7.135,-8.898,-5.562
1967,81,"WODouglas",-7.303,0.884,-7.284,-9.078,-5.635
1968,81,"WODouglas",-7.419,0.909,-7.399,-9.242,-5.715
1969,81,"WODouglas",-7.492,0.94,-7.465,-9.401,-5.736
1970,81,"WODouglas",-7.565,0.962,-7.539,-9.511,-5.767
1971,81,"WODouglas",-7.637,0.986,-7.603,-9.658,-5.799
1972,81,"WODouglas",-7.669,1.015,-7.63,-9.755,-5.799
1973,81,"WODouglas",-7.709,1.045,-7.674,-9.835,-5.779
1974,81,"WODouglas",-7.764,1.073,-7.729,-9.951,-5.769
1975,81,"WODouglas",-7.773,1.116,-7.743,-10.042,-5.665
